1(19, 0.9638475586025206) % Exp_3_T0_D0_binary_BLSTM_3_82_0
2(21, 0.9628835733317367) % Exp_2_T0_D0_twohot_BLSTM_3_50_1
3(21, 0.9627219112055804) % Exp_3_T0_D0_twohot_BLSTM_3_82_0
4(19, 0.9621052001317247) % Exp_6_T0_D0_binary_BLSTM_6_50_1
5(19, 0.9619555129778763) % Exp_7_T0_D0_binary_BLSTM_6_82_0
6(19, 0.9611891147501722) % Exp_4_T0_D0_binary_BLSTM_3_82_1
7(19, 0.9604047540640063) % Exp_1_T0_D0_binary_BLSTM_3_50_0
8(21, 0.959949705116307) % Exp_1_T0_D0_twohot_BLSTM_3_50_0
9(19, 0.9576864353501182) % Exp_2_T0_D0_binary_BLSTM_3_50_1
10(19, 0.955668652516241) % Exp_5_T0_D0_binary_BLSTM_6_50_0

--------------
(15, 0.954692692273149) % Exp_8_T0_D1_twohot_BLSTM_6_82_1
(15, 0.9537646319192887) % Exp_7_T0_D1_twohot_BLSTM_6_82_0
(15, 0.9530221836362003) % Exp_5_T0_D1_twohot_BLSTM_6_50_0
(15, 0.9523276352423435) % Exp_6_T0_D1_twohot_BLSTM_6_50_1
(15, 0.9522318354638806) % Exp_3_T0_D1_twohot_BLSTM_3_82_0


(14, 0.9472562344699578) % Exp_7_T0_D1_onehot_BLSTM_6_82_0
(3, 0.9458158946347922) % Exp_6_T1_D1_twohot_BLSTM_6_50_1
(9, 0.9411340474332599) % Exp_5_T1_D0_twohot_BLSTM_6_50_0
(15, 0.94120887345448) % Exp_11_T0_D1_twohot_LSTM_3_82_0
(14, 0.9400592761129241) % Exp_5_T0_D1_onehot_BLSTM_6_50_0
(14, 0.9401011885160016) % Exp_6_T0_D1_onehot_BLSTM_6_50_1
(14, 0.9472562344699578) % Exp_7_T0_D1_onehot_BLSTM_6_82_0
(3, 0.9417192783334514) % Exp_7_T1_D1_twohot_BLSTM_6_82_0
(3, 0.9424582062377337) % Exp_3_T1_D1_twohot_BLSTM_3_82_0
(3, 0.9427892459388522) % Exp_5_T1_D1_twohot_BLSTM_6_50_0
(3, 0.9440129105483437) % Exp_4_T1_D1_twohot_BLSTM_3_82_1
(3, 0.9446217871414722) % Exp_1_T1_D1_twohot_BLSTM_3_50_0
(3, 0.9458158946347922) % Exp_6_T1_D1_twohot_BLSTM_6_50_1
(15, 0.94120887345448) % Exp_11_T0_D1_twohot_LSTM_3_82_0
(21, 0.9427356824237344) % Exp_4_T0_D0_twohot_BLSTM_3_82_1
(21, 0.9445379157560698) % Exp_7_T0_D0_twohot_BLSTM_6_82_0


(14, 0.9330898422297398) % Exp_1_T0_D1_onehot_BLSTM_3_50_0
(14, 0.9334371164266682) % Exp_2_T0_D1_onehot_BLSTM_3_50_1
(14, 0.9352632997036194) % Exp_3_T0_D1_onehot_BLSTM_3_82_0
(14, 0.9392928778852199) % Exp_4_T0_D1_onehot_BLSTM_3_82_1



(15, 0.9441487291560637) % Exp_1_T0_D1_twohot_BLSTM_3_50_0
(15, 0.9455737508607011) % Exp_4_T0_D1_twohot_BLSTM_3_82_1
(15, 0.9467353231745651) % Exp_2_T0_D1_twohot_BLSTM_3_50_1

